AU2017_NAME,Closest_Medical_Hospital,Distance_Medical_Hospital,Closest_Childrens_Health_Hospital,Distance_Childrens_Health_Hospital,Closest_Dementia_Care_Hospital,Distance_Dementia_Care_Hospital,Closest_Geriatric_Hospital,Distance_Geriatric_Hospital,Closest_Maternity_Hospital,Distance_Maternity_Hospital,Closest_Mental_Health_Hospital,Distance_Mental_Health_Hospital,Closest_Psychogeriatric_Hospital,Distance_Psychogeriatric_Hospital,Closest_Surgical_Hospital,Distance_Surgical_Hospital
Addington,Christchurch Hospital,1.1155846354231373,Christchurch Hospital,1.1155846354231373,Tuarangi Home,80.46118295067595,Burwood Hospital,8.541567426524404,Christchurch Hospital,1.1155846354231373,Hillmorton Hospital,2.2280962845537866,Burwood Hospital,8.541567426524404,Christchurch Hospital,1.1155846354231373
Aidanfield,Christchurch Hospital,5.634096913542429,Christchurch Hospital,5.634096913542429,Tuarangi Home,75.72291732916905,Burwood Hospital,13.017730683676124,Christchurch Hospital,5.634096913542429,Hillmorton Hospital,2.5123013452969905,Burwood Hospital,13.017730683676124,Christchurch Hospital,5.634096913542429
Akaroa,Christchurch Hospital,40.86620626804826,Christchurch Hospital,40.86620626804826,Tuarangi Home,97.83187948992679,Burwood Hospital,42.654874848907596,Christchurch Hospital,40.86620626804826,The Princess Margaret Hospital,38.19627135820222,Burwood Hospital,42.654874848907596,Christchurch Hospital,40.86620626804826
Akaroa Harbour,Christchurch Hospital,36.54266867256354,Christchurch Hospital,36.54266867256354,Tuarangi Home,96.2529351073384,Burwood Hospital,38.204222413968026,Christchurch Hospital,36.54266867256354,The Princess Margaret Hospital,33.984701456657135,Burwood Hospital,38.204222413968026,Forte Health Hospital,36.519275894000806
Allenton East,Ashburton Hospital,0.6172598716648241,Timaru Hospital,69.67122853447206,Tuarangi Home,1.5543963631276398,Tuarangi Home,1.5543963631276398,Ashburton Hospital,0.6172598716648241,Timaru Hospital,69.67122853447206,Burwood Hospital,87.60100521592703,Bidwill Trust Hospital,69.08848271214079
Allenton West,Ashburton Hospital,0.5541104237222975,Timaru Hospital,69.3356647114834,Tuarangi Home,1.9546276944472325,Tuarangi Home,1.9546276944472325,Ashburton Hospital,0.5541104237222975,Timaru Hospital,69.3356647114834,Burwood Hospital,88.25367582355098,Bidwill Trust Hospital,68.73174826474532
Amberley,Rangiora Hospital,18.531147088965767,Christchurch Hospital,42.87971946122185,Tuarangi Home,114.65436300198655,Waikari Hospital,21.15364500585829,Rangiora Hospital,18.531147088965767,Hillmorton Hospital,45.43467160854468,Burwood Hospital,36.42680470330236,Burwood Hospital,36.42680470330236
Amuri,Waikari Hospital,42.1627976742498,Christchurch Hospital,105.27627207142092,Tuarangi Home,165.94554211813292,Waikari Hospital,42.1627976742498,Rangiora Hospital,78.46580496607646,Hillmorton Hospital,107.5569145067315,Burwood Hospital,99.23864703901573,Burwood Hospital,99.23864703901573
Aorangi,Nurse Maude Hospice,2.579613241405245,Christchurch Hospital,4.570548933066916,Tuarangi Home,81.3405298594992,Burwood Hospital,7.421495229674957,St George's Hospital,2.3078419119049505,Hillmorton Hospital,5.956151934795589,Burwood Hospital,7.421495229674957,St George's Hospital,2.3078419119049505
Aranui,Burwood Hospital,3.5573347318204647,Christchurch Hospital,6.781855578996259,Tuarangi Home,88.03924318762218,Burwood Hospital,3.5573347318204647,St George's Hospital,6.719703678917886,The Princess Margaret Hospital,9.512387464161595,Burwood Hospital,3.5573347318204647,Burwood Hospital,3.5573347318204647
