HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
13,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Sydenham,1,2021,2
16,Fri,Acts Intended to Cause Injury,Avon-Heathcote Estuary,1,2021,8
0,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Sydenham,1,2021,8
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2021,8
15,Mon,Theft and Related Offences,Avon-Heathcote Estuary,1,2021,2
14,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Shirley West,1,2021,2
19,Tue,Theft and Related Offences,Inlets-Banks Peninsula Bays,1,2021,2
16,Sun,Theft and Related Offences,Avon-Heathcote Estuary,1,2021,3
11,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2020,9
11,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Springston,1,2021,8
22,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",St Albans East,1,2021,8
23,Sat,Acts Intended to Cause Injury,Holmwood,1,2020,10
9,Mon,Theft and Related Offences,Northcote,1,2021,1
19,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North,1,2021,7
16,Mon,Acts Intended to Cause Injury,Aranui,1,2020,10
15,Fri,Theft and Related Offences,Wainoni,1,2021,6
5,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North,1,2021,7
21,Sun,"Abduction, Harassment and Other Related Offences Against a Person",Mona Vale,2,2021,5
17,Tue,Acts Intended to Cause Injury,Cathedral Square,2,2021,1
3,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,2
10,Tue,"Robbery, Extortion and Related Offences",Woolston South,1,2021,8
15,Sun,"Robbery, Extortion and Related Offences",Avon-Heathcote Estuary,2,2021,6
0,Sun,Acts Intended to Cause Injury,Richmond South,1,2020,9
14,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
13,Sat,Acts Intended to Cause Injury,Linwood,1,2020,9
6,Fri,Theft and Related Offences,Barrington South,1,2021,7
11,Fri,Acts Intended to Cause Injury,Mona Vale,1,2020,9
20,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Allenton West,1,2020,10
12,Sun,Acts Intended to Cause Injury,Avon Loop,1,2020,10
16,Sun,Acts Intended to Cause Injury,West Melton,1,2020,10
20,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2021,8
3,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,1,2021,7
12,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Mt Somers,1,2021,6
20,Tue,"Robbery, Extortion and Related Offences",Linwood North,1,2021,8
21,Tue,Sexual Assault and Related Offences,Cathedral Square,1,2021,8
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Casebrook,1,2021,6
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Belfast,1,2021,7
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Upper Riccarton,1,2021,6
5,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Waltham,1,2021,7
9,Mon,Theft and Related Offences,Papanui,1,2021,1
22,Fri,"Robbery, Extortion and Related Offences",Linwood,1,2020,12
2,Sun,Theft and Related Offences,Mt Pleasant,1,2020,10
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2020,10
11,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
10,Tue,Theft and Related Offences,Middleton,1,2021,8
11,Tue,Theft and Related Offences,Methven,1,2021,8
12,Tue,Theft and Related Offences,Ashburton Central East,1,2021,8
13,Tue,Theft and Related Offences,Cathedral Square,1,2021,8
21,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Halswell Domain,1,2021,8
13,Fri,Theft and Related Offences,St Albans East,1,2020,9
15,Fri,Theft and Related Offences,Mona Vale,1,2021,5
16,Fri,Theft and Related Offences,Rangiora North,1,2021,5
17,Fri,Theft and Related Offences,Avon Loop,1,2021,5
17,Fri,Theft and Related Offences,Shirley East,1,2021,5
13,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
13,Fri,Acts Intended to Cause Injury,North Beach,1,2020,9
22,Fri,"Robbery, Extortion and Related Offences",Avon Loop,1,2020,11
