AU2017_NAME,Total,Fatalities,Serious_injuries,Minor_injuries,Bicycles_involved,Motorbikes_mopeds,Pedestrians_involved,Median_speed_limit
Addington,127,1,9,27,16,3,10,50
Aidanfield,41,1,4,5,4,1,2,50
Akaroa,22,0,2,1,0,0,1,50
Akaroa Harbour,99,3,15,28,0,18,0,100
Aorangi,83,0,4,19,11,5,3,50
Aranui,91,0,6,27,2,1,4,50
Avon Loop,248,1,8,90,13,11,12,50
Avondale,44,0,6,11,0,3,0,50
Avonhead,33,1,0,8,4,1,2,50
Avonhead West,47,3,7,28,4,2,0,60
Avonside,38,0,0,10,0,0,0,50
Banks Peninsula Eastern Bays,17,0,3,7,0,1,0,100
Barrington North,102,0,9,48,10,6,6,50
Barrington South,20,0,0,4,2,1,2,50
Beckenham,19,0,1,5,2,1,3,50
Belfast,121,1,6,38,5,1,6,60
Belfast South,21,0,1,14,0,0,3,60
Bexley,78,3,5,36,3,3,3,50
Bishopdale,67,0,7,21,5,4,9,50
Bishopdale North,133,1,4,38,6,4,4,50
Bromley,139,1,14,53,7,6,4,50
Broomfield,69,0,10,23,1,6,3,50
Bryndwr,57,0,3,21,3,1,4,50
Burnside,43,0,3,17,2,1,2,50
Burwood,43,0,4,17,4,2,4,50
Casebrook,82,0,3,26,5,3,6,50
Cashmere East,79,5,13,31,5,7,1,60
Cashmere West,112,1,11,56,14,11,4,50
Cathedral Square,515,1,20,172,39,18,34,50
Dallington,18,1,2,7,0,1,2,50
Deans Bush,50,0,7,11,9,3,1,50
Diamond Harbour,18,0,1,7,0,1,0,50
Edgeware,108,0,9,46,7,13,5,50
Ensors,98,0,9,47,5,8,7,50
Fendalton,76,0,4,24,5,1,3,50
Ferrymead,95,0,7,36,11,6,3,50
Governors Bay,58,1,15,22,0,13,0,70
Hagley Park,176,0,12,57,18,7,15,50
Halswell Domain,14,0,1,5,1,0,0,60
Halswell South,17,0,1,7,0,1,1,60
Halswell West,86,1,4,35,6,6,0,70
Harewood,64,1,4,16,1,1,4,50
