AU2017_NAME,Closest_Medical_Hospital,Distance_Medical_Hospital,Closest_Childrens_Health_Hospital,Distance_Childrens_Health_Hospital,Closest_Dementia_Care_Hospital,Distance_Dementia_Care_Hospital,Closest_Geriatric_Hospital,Distance_Geriatric_Hospital,Closest_Maternity_Hospital,Distance_Maternity_Hospital,Closest_Mental_Health_Hospital,Distance_Mental_Health_Hospital,Closest_Psychogeriatric_Hospital,Distance_Psychogeriatric_Hospital,Closest_Surgical_Hospital,Distance_Surgical_Hospital
Addington,Christchurch Hospital,1115.5846354231373,Christchurch Hospital,1115.5846354231373,Tuarangi Home,80461.18295067595,Burwood Hospital,8541.567426524405,Christchurch Hospital,1115.5846354231373,Hillmorton Hospital,2228.096284553787,Burwood Hospital,8541.567426524405,Christchurch Hospital,1115.5846354231373
Aidanfield,Christchurch Hospital,5634.096913542429,Christchurch Hospital,5634.096913542429,Tuarangi Home,75722.91732916905,Burwood Hospital,13017.730683676125,Christchurch Hospital,5634.096913542429,Hillmorton Hospital,2512.3013452969903,Burwood Hospital,13017.730683676125,Christchurch Hospital,5634.096913542429
Akaroa,Christchurch Hospital,40866.20626804826,Christchurch Hospital,40866.20626804826,Tuarangi Home,97831.8794899268,Burwood Hospital,42654.874848907595,Christchurch Hospital,40866.20626804826,The Princess Margaret Hospital,38196.27135820222,Burwood Hospital,42654.874848907595,Christchurch Hospital,40866.20626804826
Akaroa Harbour,Christchurch Hospital,36542.668672563545,Christchurch Hospital,36542.668672563545,Tuarangi Home,96252.93510733842,Burwood Hospital,38204.22241396803,Christchurch Hospital,36542.668672563545,The Princess Margaret Hospital,33984.70145665714,Burwood Hospital,38204.22241396803,Forte Health Hospital,36519.275894000806
Allenton East,Ashburton Hospital,617.2598716648241,Timaru Hospital,69671.22853447207,Tuarangi Home,1554.39636312764,Tuarangi Home,1554.39636312764,Ashburton Hospital,617.2598716648241,Timaru Hospital,69671.22853447207,Burwood Hospital,87601.00521592703,Bidwill Trust Hospital,69088.48271214079
Allenton West,Ashburton Hospital,554.1104237222975,Timaru Hospital,69335.6647114834,Tuarangi Home,1954.6276944472327,Tuarangi Home,1954.6276944472327,Ashburton Hospital,554.1104237222975,Timaru Hospital,69335.6647114834,Burwood Hospital,88253.67582355098,Bidwill Trust Hospital,68731.74826474533
Amberley,Rangiora Hospital,18531.14708896577,Christchurch Hospital,42879.71946122186,Tuarangi Home,114654.36300198657,Waikari Hospital,21153.64500585829,Rangiora Hospital,18531.14708896577,Hillmorton Hospital,45434.67160854468,Burwood Hospital,36426.80470330236,Burwood Hospital,36426.80470330236
Amuri,Waikari Hospital,42162.7976742498,Christchurch Hospital,105276.27207142093,Tuarangi Home,165945.54211813293,Waikari Hospital,42162.7976742498,Rangiora Hospital,78465.80496607647,Hillmorton Hospital,107556.91450673151,Burwood Hospital,99238.64703901573,Burwood Hospital,99238.64703901573
Aorangi,Nurse Maude Hospice,2579.613241405245,Christchurch Hospital,4570.548933066916,Tuarangi Home,81340.5298594992,Burwood Hospital,7421.495229674957,St George's Hospital,2307.8419119049504,Hillmorton Hospital,5956.151934795589,Burwood Hospital,7421.495229674957,St George's Hospital,2307.8419119049504
Aranui,Burwood Hospital,3557.334731820465,Christchurch Hospital,6781.855578996259,Tuarangi Home,88039.24318762218,Burwood Hospital,3557.334731820465,St George's Hospital,6719.703678917887,The Princess Margaret Hospital,9512.387464161597,Burwood Hospital,3557.334731820465,Burwood Hospital,3557.334731820465
Ashburton Central East,Tuarangi Home,231.84588781852423,Timaru Hospital,68338.7651664485,Tuarangi Home,231.84588781852423,Tuarangi Home,231.84588781852423,Ashburton Hospital,1264.827267330429,Timaru Hospital,68338.7651664485,Burwood Hospital,88542.8549764755,Bidwill Trust Hospital,67774.3519718152
Ashburton Central West,Tuarangi Home,671.1537492071876,Timaru Hospital,68568.94590648949,Tuarangi Home,671.1537492071876,Tuarangi Home,671.1537492071876,Ashburton Hospital,790.1824762178765,Timaru Hospital,68568.94590648949,Burwood Hospital,88503.68248612077,Bidwill Trust Hospital,67993.10886062322
Ashburton East,Tuarangi Home,1664.9514744674327,Timaru Hospital,68522.27819253504,Tuarangi Home,1664.9514744674327,Tuarangi Home,1664.9514744674327,Ashburton Hospital,2941.0354368348985,Timaru Hospital,68522.27819253504,Burwood Hospital,87671.97569395421,Bidwill Trust Hospital,68007.64555370263
Ashburton North,Ashburton Hospital,2551.781629041185,Timaru Hospital,71636.00119337546,Tuarangi Home,3307.5383658635023,Tuarangi Home,3307.5383658635023,Ashburton Hospital,2551.781629041185,Timaru Hospital,71636.00119337546,Burwood Hospital,85733.85501090196,Bidwill Trust Hospital,71057.594387173
Ashley,Rangiora Hospital,4061.743155901691,Christchurch Hospital,30631.006014554434,Tuarangi Home,100234.82682057878,Burwood Hospital,25359.60245023703,Rangiora Hospital,4061.743155901691,Hillmorton Hospital,32775.15330366476,Burwood Hospital,25359.60245023703,Burwood Hospital,25359.60245023703
Ashley Gorge,Oxford Hospital,134.76101764894167,Christchurch Hospital,43343.1290900359,Tuarangi Home,75733.23903231345,Oxford Hospital,134.76101764894167,Rangiora Hospital,32421.479240533234,Hillmorton Hospital,42786.48621975591,Burwood Hospital,44375.1366462538,St George's Hospital,41434.67120714639
Aviemore,Hospice South Canterbury,93244.4112474555,Timaru Hospital,95857.34920938831,Tuarangi Home,153391.15508206747,Tuarangi Home,153391.15508206747,Timaru Hospital,95857.34920938831,Timaru Hospital,95857.34920938831,Burwood Hospital,241744.71470392524,Bidwill Trust Hospital,95089.23921897098
Avon Loop,Southern Cross Hospital Christchurch,892.8529781291444,Christchurch Hospital,1739.8419746007394,Tuarangi Home,83063.31049708373,Burwood Hospital,5850.5750877298615,Christchurch Hospital,1739.8419746007394,Hillmorton Hospital,4873.279385345007,Burwood Hospital,5850.5750877298615,Forte Health Hospital,451.53692126735905
Avondale,Burwood Hospital,3012.6863269194823,Christchurch Hospital,6193.027435606738,Tuarangi Home,87508.84257719762,Burwood Hospital,3012.6863269194823,St George's Hospital,5936.69681135177,The Princess Margaret Hospital,9196.196128285539,Burwood Hospital,3012.6863269194823,Burwood Hospital,3012.6863269194823
Avonhead,Nurse Maude Hospice,5236.341067662739,Christchurch Hospital,5513.333140902043,Tuarangi Home,77573.75565285272,Burwood Hospital,10969.920114605578,St George's Hospital,5043.007629583414,Hillmorton Hospital,4597.018695600368,Burwood Hospital,10969.920114605578,St George's Hospital,5043.007629583414
