AreaUnit,Total_Crime,Commonest_Crime
Cathedral Square,1612,Theft and Related Offences
Linwood East,655,Theft and Related Offences
Northcote,539,Theft and Related Offences
Shirley East,534,Theft and Related Offences
Riccarton,454,Theft and Related Offences
Sydenham,416,Theft and Related Offences
Hornby North,336,Theft and Related Offences
Hagley Park,306,Theft and Related Offences
Belfast,248,"Unlawful Entry With Intent/Burglary, Break and Enter"
Sockburn,235,Theft and Related Offences
Avon Loop,225,Theft and Related Offences
Rawhiti,224,Acts Intended to Cause Injury
Linwood,214,Theft and Related Offences
Addington,213,Theft and Related Offences
Richmond South,204,Theft and Related Offences
Spreydon,202,Theft and Related Offences
Middleton,199,Theft and Related Offences
Seaview,195,Theft and Related Offences
Papanui,192,Theft and Related Offences
Mona Vale,186,Theft and Related Offences
Rolleston North East,183,Theft and Related Offences
Rangiora East,177,Theft and Related Offences
Merivale,171,Theft and Related Offences
Barrington North,168,Theft and Related Offences
Paparua,167,Theft and Related Offences
Prestons,147,Theft and Related Offences
Phillipstown,145,Theft and Related Offences
Parkside,138,Theft and Related Offences
Ferrymead,137,Theft and Related Offences
Woolston West,137,Theft and Related Offences
Casebrook,136,Theft and Related Offences
Yaldhurst,135,Theft and Related Offences
Bromley,130,Theft and Related Offences
Oaklands East,129,Theft and Related Offences
Cashmere West,126,Theft and Related Offences
Opawa,126,Theft and Related Offences
Upper Riccarton,123,Theft and Related Offences
Wigram,121,Theft and Related Offences
Kaiapoi South,118,Theft and Related Offences
Wainoni,112,Theft and Related Offences
St Albans East,109,Theft and Related Offences
Shirley West,105,"Unlawful Entry With Intent/Burglary, Break and Enter"
Ensors,104,Theft and Related Offences
Linwood North,99,Theft and Related Offences
Bishopdale North,95,Theft and Related Offences
Hornby South,94,Theft and Related Offences
Fendalton,90,Theft and Related Offences
North Beach,90,Theft and Related Offences
Islington,86,Theft and Related Offences
Aranui,85,Theft and Related Offences
Bishopdale,85,"Unlawful Entry With Intent/Burglary, Break and Enter"
Southbrook,81,Acts Intended to Cause Injury
West Melton,81,Theft and Related Offences
Waimataitai,77,Theft and Related Offences
Travis Wetland,76,Theft and Related Offences
Avonhead West,75,Theft and Related Offences
Riccarton South,74,Theft and Related Offences
Edgeware,70,Theft and Related Offences
Ashburton Central West,69,Theft and Related Offences
Sawyers Arms,67,Theft and Related Offences
Wharenui,67,Theft and Related Offences
Cashmere East,66,Theft and Related Offences
Redwood South,65,Theft and Related Offences
New Brighton,64,"Unlawful Entry With Intent/Burglary, Break and Enter"
Jellie Park,62,Theft and Related Offences
Lincoln,61,Theft and Related Offences
Belfast South,60,Theft and Related Offences
St Martins,58,Theft and Related Offences
Kaiapoi North West,57,Theft and Related Offences
Lyttelton,57,"Unlawful Entry With Intent/Burglary, Break and Enter"
Riccarton West,57,Theft and Related Offences
Richmond North,57,Theft and Related Offences
Aorangi,56,Theft and Related Offences
Avonside,56,Acts Intended to Cause Injury
Styx,56,Theft and Related Offences
Kaikoura Township,55,Theft and Related Offences
Waimairi Beach,55,Theft and Related Offences
Waltham,55,Theft and Related Offences
Westburn,55,Theft and Related Offences
