"AreaUnit","Total_Crashes","Total_Crime","Commonest_Crime","Closest_Medical_Hospital","Distance_Medical_Hospital","Closest_Childrens_Health_Hospital","Distance_Childrens_Health_Hospital","Closest_Dementia_Care_Hospital","Distance_Dementia_Care_Hospital","Closest_Geriatric_Hospital","Distance_Geriatric_Hospital","Closest_Maternity_Hospital","Distance_Maternity_Hospital","Closest_Mental_Health_Hospital","Distance_Mental_Health_Hospital","Closest_Psychogeriatric_Hospital","Distance_Psychogeriatric_Hospital","Closest_Surgical_Hospital","Distance_Surgical_Hospital","Average_decile","Primary","Secondary","Composite","Other"
"Addington",127,213,"Theft and Related Offences","Christchurch Hospital",1115.58463542314,"Christchurch Hospital",1115.58463542314,"Tuarangi Home",80461.182950676,"Burwood Hospital",8541.56742652441,"Christchurch Hospital",1115.58463542314,"Hillmorton Hospital",2228.09628455379,"Burwood Hospital",8541.56742652441,"Christchurch Hospital",1115.58463542314,4,1,0,0,0
"Aidanfield",41,13,"Theft and Related Offences","Christchurch Hospital",5634.09691354243,"Christchurch Hospital",5634.09691354243,"Tuarangi Home",75722.9173291691,"Burwood Hospital",13017.7306836761,"Christchurch Hospital",5634.09691354243,"Hillmorton Hospital",2512.30134529699,"Burwood Hospital",13017.7306836761,"Christchurch Hospital",5634.09691354243,5,0,0,1,1
"Akaroa",22,9,"Theft and Related Offences","Christchurch Hospital",40866.2062680483,"Christchurch Hospital",40866.2062680483,"Tuarangi Home",97831.8794899268,"Burwood Hospital",42654.8748489076,"Christchurch Hospital",40866.2062680483,"The Princess Margaret Hospital",38196.2713582022,"Burwood Hospital",42654.8748489076,"Christchurch Hospital",40866.2062680483,7,0,0,1,0
"Akaroa Harbour",99,3,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",36542.6686725635,"Christchurch Hospital",36542.6686725635,"Tuarangi Home",96252.9351073384,"Burwood Hospital",38204.222413968,"Christchurch Hospital",36542.6686725635,"The Princess Margaret Hospital",33984.7014566571,"Burwood Hospital",38204.222413968,"Forte Health Hospital",36519.2758940008,6,1,0,0,0
"Allenton East",26,25,"Theft and Related Offences","Ashburton Hospital",617.259871664824,"Timaru Hospital",69671.2285344721,"Tuarangi Home",1554.39636312764,"Tuarangi Home",1554.39636312764,"Ashburton Hospital",617.259871664824,"Timaru Hospital",69671.2285344721,"Burwood Hospital",87601.005215927,"Bidwill Trust Hospital",69088.4827121408,6.5,1,1,0,0
"Allenton West",21,10,"Theft and Related Offences","Ashburton Hospital",554.110423722297,"Timaru Hospital",69335.6647114834,"Tuarangi Home",1954.62769444723,"Tuarangi Home",1954.62769444723,"Ashburton Hospital",554.110423722297,"Timaru Hospital",69335.6647114834,"Burwood Hospital",88253.675823551,"Bidwill Trust Hospital",68731.7482647453,NA,0,NA,NA,NA
"Amberley",34,23,"Theft and Related Offences","Rangiora Hospital",18531.1470889658,"Christchurch Hospital",42879.7194612219,"Tuarangi Home",114654.363001987,"Waikari Hospital",21153.6450058583,"Rangiora Hospital",18531.1470889658,"Hillmorton Hospital",45434.6716085447,"Burwood Hospital",36426.8047033024,"Burwood Hospital",36426.8047033024,NA,0,NA,NA,NA
"Amuri",262,11,"Theft and Related Offences","Waikari Hospital",42162.7976742498,"Christchurch Hospital",105276.272071421,"Tuarangi Home",165945.542118133,"Waikari Hospital",42162.7976742498,"Rangiora Hospital",78465.8049660765,"Hillmorton Hospital",107556.914506732,"Burwood Hospital",99238.6470390157,"Burwood Hospital",99238.6470390157,8,1,0,0,0
"Aorangi",83,56,"Theft and Related Offences","Nurse Maude Hospice",2579.61324140524,"Christchurch Hospital",4570.54893306692,"Tuarangi Home",81340.5298594992,"Burwood Hospital",7421.49522967496,"St George's Hospital",2307.84191190495,"Hillmorton Hospital",5956.15193479559,"Burwood Hospital",7421.49522967496,"St George's Hospital",2307.84191190495,6,1,0,0,1
"Aranui",91,85,"Theft and Related Offences","Burwood Hospital",3557.33473182047,"Christchurch Hospital",6781.85557899626,"Tuarangi Home",88039.2431876222,"Burwood Hospital",3557.33473182047,"St George's Hospital",6719.70367891789,"The Princess Margaret Hospital",9512.3874641616,"Burwood Hospital",3557.33473182047,"Burwood Hospital",3557.33473182047,1,1,0,0,0
