Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations
13,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Christchurch City,Abduction and Kidnapping,Sydenham.,13,Canterbury Region,Christchurch City.,1/02/2021,2621701,Canterbury Region,Christchurch City,1
16,Fri,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Avon-Heathcote Estuary.,16,Canterbury Region,Christchurch City.,1/08/2021,,Canterbury Region,Christchurch City,1
0,Wed,"Abduction, Harassment and Other Related Offences Against a Person",Christchurch City,Abduction and Kidnapping,Sydenham.,0,Canterbury Region,Christchurch City.,1/08/2021,2617300,Canterbury Region,Christchurch City,1
4,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton.,4,Canterbury Region,Christchurch City.,1/08/2021,2629204,Canterbury Region,Christchurch City,1
15,Mon,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Avon-Heathcote Estuary.,15,Canterbury Region,Christchurch City.,1/02/2021,,Canterbury Region,Christchurch City,1
14,Sat,"Abduction, Harassment and Other Related Offences Against a Person",Christchurch City,Abduction and Kidnapping,Shirley West.,14,Canterbury Region,Christchurch City.,1/02/2021,2594400,Canterbury Region,Christchurch City,1
19,Tue,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Inlets-Banks Peninsula Bays.,19,Canterbury Region,Christchurch City.,1/02/2021,,Canterbury Region,Christchurch City,1
16,Sun,Theft and Related Offences,Christchurch City,"Theft (Except Motor Vehicles), N.E.C.",Avon-Heathcote Estuary.,16,Canterbury Region,Christchurch City.,1/03/2021,,Canterbury Region,Christchurch City,1
11,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon.,11,Canterbury Region,Christchurch City.,1/09/2020,2643400,Canterbury Region,Christchurch City,1
11,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Selwyn District,"Unlawful Entry With Intent/Burglary, Break and Enter",Springston.,11,Canterbury Region,Selwyn District.,1/08/2021,2721300,Canterbury Region,Selwyn District,1
22,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",Christchurch City,"Unlawful Entry With Intent/Burglary, Break and Enter",St Albans East.,22,Canterbury Region,Christchurch City.,1/08/2021,2688300,Canterbury Region,Christchurch City,1
23,Sat,Acts Intended to Cause Injury,Christchurch City,Serious Assault Not Resulting in Injury,Holmwood.,23,Canterbury Region,Christchurch City.,1/10/2020,2545901,Canterbury Region,Christchurch City,1
9,Mon,Theft and Related Offences,Christchurch City,Theft From Retail Premises,Northcote.,9,Canterbury Region,Christchurch City.,1/01/2021,2665000,Canterbury Region,Christchurch City,1
19,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North.,19,Canterbury Region,Waimakariri District.,1/07/2021,2443600,Canterbury Region,Waimakariri District,1
16,Mon,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Aranui.,16,Canterbury Region,Christchurch City.,1/10/2020,2573500,Canterbury Region,Christchurch City,1
15,Fri,Theft and Related Offences,Christchurch City,Illegal Use of Property (Except Motor Vehicles),Wainoni.,15,Canterbury Region,Christchurch City.,1/06/2021,2569400,Canterbury Region,Christchurch City,1
5,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimakariri District,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora North.,5,Canterbury Region,Waimakariri District.,1/07/2021,2443600,Canterbury Region,Waimakariri District,1
21,Sun,"Abduction, Harassment and Other Related Offences Against a Person",Christchurch City,Abduction and Kidnapping,Mona Vale.,21,Canterbury Region,Christchurch City.,1/05/2021,2472304,Canterbury Region,Christchurch City,2
17,Tue,Acts Intended to Cause Injury,Christchurch City,Serious Assault Resulting in Injury,Cathedral Square.,17,Canterbury Region,Christchurch City.,1/01/2021,2651700,Canterbury Region,Christchurch City,2
