AU2017_NAME,Total_Crashes
Addington,127
Aidanfield,41
Akaroa,22
Akaroa Harbour,99
Allenton East,26
Allenton West,21
Amberley,34
Amuri,262
Aorangi,83
Aranui,91
Ashburton Central East,101
Ashburton Central West,108
Ashburton East,14
Ashburton North,7
Ashley,15
Ashley Gorge,49
Aviemore,145
Avon Loop,248
Avondale,44
Avonhead,33
Avonhead West,47
Avonside,38
Banks Peninsula Eastern Bays,17
Barrington North,102
Barrington South,20
Beckenham,19
Belfast,121
Belfast South,21
Ben Mcleod,2
Bexley,78
Bishopdale,67
Bishopdale North,133
Bromley,139
Broomfield,69
Bryndwr,57
Burnham Military Camp,18
Burnside,43
Burwood,43
Camside,5
Casebrook,82
Cashmere East,79
Cashmere West,112
Cathedral Square,515
Chertsey,120
Cheviot,4
Clarkville,138
Coldstream,44
Courtenay,2
Culverden,12
Cust,8
Dallington,18
Darfield,14
Deans Bush,50
Diamond Harbour,18
Dunsandel,11
Duntroon,3
Edgeware,108
Ensors,98
Eyrewell,15
Fairlie,5
Fairton,17
Fairview-Scarborough,31
Fendalton,76
Fernside,60
Ferrymead,95
Fraser Park,51
Geraldine,32
Gleniti,9
Glenwood,22
Governors Bay,58
Hagley Park,176
Halswell Domain,14
Halswell South,17
Halswell West,86
Hampstead,23
Hanmer Springs,9
Harewood,64
Hawthornden,29
Heathcote Valley,49
Hendersons Basin,38
Highfield,75
Highfield Park,66
Hillmorton,72
Hinds,168
Holmwood,36
Hoon Hay,26
Hoon Hay South,20
Hornby North,157
Hornby South,95
Hurunui,153
Ilam,68
Islington,146
Jellie Park,50
Kaiapoi East,10
Kaiapoi North East,12
Kaiapoi North West,65
Kaiapoi South,41
Kaiapoi West,16
Kaikoura Rural,185
Kaikoura Township,87
Kennedys Bush,6
Kingsbury,13
Kirwee,147
Kurow,2
Lake Tekapo,24
Lake Tennyson,1
Leeston,12
Lehmans,22
Leithfield,101
Levels,197
Lincoln,73
Linwood,181
Linwood East,76
Linwood North,84
Little River,107
Loburn,49
Lyttelton,99
Mackenzie,363
Mairaki,13
Mairehau,40
Mairehau North,45
Malvern,214
Mandeville,56
Mansfield,8
Maori Park,55
Marchwiel,53
Mcleans Island,37
Merivale,86
Merrin,16
Methven,14
Middleton,214
Mona Vale,112
Moncks Bay,39
Mt Pleasant,37
Mt Somers,129
Netherby,21
New Brighton,45
North Beach,54
Northcote,129
Oaklands East,24
Oaklands West,29
Ohoka,24
Okuku,17
Omarama,16
Opawa,102
Orari,266
Otematata,4
Otipua Creek-Washdyke Flat,32
Oxford,22
Papanui,93
Paparua,48
Pareora,4
Parklands,41
Parkside,87
Parnassus,123
Pegasus,25
Phillipstown,174
Pines-Kairaki Beach,7
Plains Railway,23
Pleasant Point,12
Port Levy,5
Prebbleton,20
Prestons,97
Rakaia,35
Rangiora Central,39
Rangiora East,40
Rangiora North,44
Rangiora West,17
Rapaki Track,34
Ravenswood,10
Rawhiti,82
Redruth,4
Redwood North,54
Redwood South,82
Riccarton,173
Riccarton South,151
Riccarton West,70
Richmond North,70
Richmond South,60
Rolleston Central,32
Rolleston North East,58
Rolleston North West,25
Rolleston South East,43
Rolleston South West,13
Russley,71
Rutland,103
Sawyers Arms,107
Seaview,171
Sefton,45
Selwyn-Rakaia,187
Shirley East,93
Shirley West,102
Silverstream,13
Sockburn,247
Somerfield,49
South Brighton,19
Southbridge,4
Southbrook,72
Spreydon,98
Springston,161
St Albans East,157
St Albans West,37
St Andrews,2
St Martins,54
Strowan,103
Styx,148
Styx Mill,41
Sumner,28
Sydenham,390
Taitapu,14
Templeton,30
Temuka,46
Timaru Gardens,46
Tinwald,62
Travis,38
Travis Wetland,71
Trents-Ladbrooks,142
Tuahiwi,102
Twizel Community,26
Upper Riccarton,128
Waiau,2
Waihao,281
Waikuku,2
Waimairi Beach,21
Waimataitai,85
Waimate,37
Wainoni,71
Wairarapa,64
Waltham,83
Washdyke,69
Watlington,27
West Eyreton,22
West Melton,336
Westburn,68
Westhaven,46
Westmorland,7
Wharenui,85
Wigram,249
Winchester,8
Woodend,39
Woodend Beach,18
Woodend West,2
Woolston South,60
Woolston West,79
Yaldhurst,188
